店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所
金星,緑地公園駅 140m,ちゃんこ鍋、海鮮、居酒屋,【緑地公園駅2分】駅近で専門店ならではの本格「ちゃんこ鍋」を堪能♪大人数の宴会利用も歓迎◎,3.04,8,330,"￥5,000～￥5,999",-,大阪府豊中市寺内2-8-1
プティマルシェドゥーブルヴィ,緑地公園駅 259m,洋菓子、スイーツ,,3.01,1,129,-,-,大阪府豊中市寺内2-3-9 グリーンエクセル
澄屋,緑地公園駅 140m,食堂,,3.02,2,51,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市寺内2-2-22 シャトーエデン 1F
みどり寿司,緑地公園駅 346m,寿司,,,4,100,"￥4,000～￥4,999",-,大阪府豊中市寺内1-11-23 ハイネス緑地公園 1F
シャルドネ レストラン,緑地公園駅 245m,フレンチ,,3.15,26,734,-,"￥1,000～￥1,999",大阪府豊中市寺内1-1-36
IT'S MY THING & Coffee,緑地公園駅 138m,カフェ,,3.06,7,323,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市寺内2-8-1 1F
WineBar Fontaine,緑地公園駅 262m,ワインバー,,3.02,1,13,"￥3,000～￥3,999",-,大阪府豊中市寺内2-3-9 グリーンエクセル 506
akkord,緑地公園駅 265m,洋菓子、カフェ,,3.3,30,1842,-,"￥1,000～￥1,999",大阪府豊中市寺内2-3-9 グリーンエクセル 1F
本家かまどや 緑地公園駅前店,緑地公園駅 139m,弁当,,3,5,44,-,-,大阪府豊中市寺内2-2-22 シャトーエデン 1F
麺房 鶏くらふと,緑地公園駅 218m,ラーメン、つけ麺,,3.62,384,8989,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市寺内2-2-27
むぎパン,緑地公園駅 331m,パン,,3.14,27,457,-,-,大阪府豊中市寺内1-6-8 第2ヒルトンハイツ 1F
焼鳥と焼野菜 ぎんすけ 緑地公園店,緑地公園駅 175m,居酒屋、焼き鳥,,3.2,26,754,"￥4,000～￥4,999",-,大阪府豊中市寺内2-2-26 ロワール緑地 1F
マクドナルド 北急緑地公園駅店,緑地公園駅 58m,ハンバーガー、カフェ,,3.03,25,120,～￥999,～￥999,大阪府豊中市寺内2-4-1
一眞,緑地公園駅 232m,ふぐ,,3.75,72,4788,"￥30,000～￥39,999",-,大阪府豊中市寺内2-2-3
CoCo壱番屋 豊中緑地公園店,緑地公園駅 204m,カレー,,3.02,15,117,-,～￥999,大阪府豊中市寺内2-2-27 シルフィード緑 １Ｆ
Standard Café & Gallery 緑地公園店,緑地公園駅 89m,カフェ,,3.24,32,849,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市寺内2-13-5 1F
一福 豊中緑地公園店,緑地公園駅 122m,ラーメン、担々麺,,3.39,111,1633,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市寺内2-13-7
串かつ市場 緑地公園店,緑地公園駅 62m,串揚げ、居酒屋、もつ鍋,,3.07,24,940,"￥2,000～￥2,999",～￥999,大阪府豊中市寺内2-13-1 1F
サンドッグイン神戸屋 緑地公園駅店,緑地公園駅 59m,パン、カフェ,,3.18,27,443,-,～￥999,大阪府豊中市寺内2-4-1 緑地駅ビル 1F
マクドナルド 緑地北店,緑地公園駅 257m,ハンバーガー,,3.03,28,157,～￥999,～￥999,大阪府豊中市寺内2-3-16
パリワール 緑地公園店,緑地公園駅 255m,インド料理、インドカレー,,3.08,37,453,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市寺内1-1-36 ライオンズマンション 第２緑地公園　１Ｆ
カフェ マグ,緑地公園駅 331m,パン、カフェ,,3.06,5,177,-,"￥1,000～￥1,999",大阪府豊中市寺内1-3-25 シャトーグリーンハイツ 1F
千鳥屋宗家 緑地公園店,緑地公園駅 46m,和菓子,,3.01,1,16,-,-,大阪府豊中市寺内2-4-1
つぶら,緑地公園駅 261m,惣菜・デリ,,3,1,36,-,-,大阪府豊中市寺内2-3-9 グリーンエクセル 501
サンブラー,緑地公園駅 321m,バー,,3.07,8,175,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市寺内2-3-15-101
信州そば処 そじ坊,緑地公園駅 58m,そば、うどん,,3.03,15,158,"￥1,000～￥1,999",-,大阪府豊中市寺内2-4-1
壺天 緑地店,緑地公園駅 366m,串揚げ,,3.07,12,498,"￥4,000～￥4,999",-,大阪府豊中市寺内1-11-21 第３ヴィラ・ヴェール 1F
massitta,緑地公園駅 260m,弁当,,,5,,-,-,大阪府豊中市寺内2-9-8 グリーンエクセル 302
ピッツェリア ダ マリオ,緑地公園駅 153m,ピザ、イタリアン,,3.41,79,3783,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市寺内2-2-22
わがまま,緑地公園駅 253m,喫茶店,,,1,10,-,-,大阪府豊中市寺内2-3-8
起世,緑地公園駅 283m,焼肉、もつ鍋、にんにく料理,,3.05,7,437,"￥2,000～￥2,999",～￥999,大阪府豊中市寺内2-10-1
カフェ　ヒラノ,緑地公園駅 46m,カフェ、喫茶店,,3.08,17,202,-,～￥999,大阪府豊中市寺内2-4-1
おばんざいとお寿司 こばやし,緑地公園駅 225m,居酒屋、寿司,,,2,30,-,-,大阪府豊中市寺内2-10-8
モーガン,緑地公園駅 345m,喫茶店、洋食,,3.1,13,314,-,"￥1,000～￥1,999",大阪府豊中市寺内1-11-23
47そば,緑地公園駅 290m,沖縄そば,,3.02,1,39,-,-,大阪府豊中市寺内2-11-8
クッカーニャ,緑地公園駅 242m,イタリアン、創作料理、ワインバー,,3.31,63,4545,"￥8,000～￥9,999","￥2,000～￥2,999",大阪府豊中市寺内1-5-7 メゾン緑地 1F
砥用,緑地公園駅 193m,日本料理,,3.03,4,131,-,-,大阪府豊中市寺内2-7
アドノット,豊中市,カフェ、ケーキ,,3.38,93,3611,-,"￥1,000～￥1,999",大阪府豊中市利倉1-13-20
亀田珈琲焙煎所,豊中市,カフェ,,3.02,2,39,-,-,大阪府豊中市利倉2-10-6
リーブ,園田駅 877m,パン,,3.07,15,193,-,-,大阪府豊中市利倉西2-14-14
ビッグボーイ 園田店,園田駅 830m,ファミレス、ハンバーグ、ステーキ,,3.07,52,204,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市利倉西 2-82
作州武蔵魍魎亭,服部天神駅 889m,日本料理,,3.04,5,147,-,-,大阪府豊中市利倉東2-1-12
リンガーハット 豊中利倉東店,曽根駅 946m,ちゃんぽん,,3.07,51,145,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市利倉東1-17-12
かつや 豊中利倉東店,曽根駅 906m,とんかつ,,3.07,51,146,～￥999,～￥999,大阪府豊中市利倉東1-17-17
然の膳 大阪刀根山医療センター店,蛍池駅 347m,薬膳、食堂,,,9,,-,-,大阪府豊中市刀根山5-1-1 大阪刀根山医療センター 1F
ステーキのどん 中環柴原店,柴原阪大前駅 83m,ステーキ、ハンバーグ、ファミレス,ステーキ業界の「どん！」圧倒的ボリューム＆コスパでお腹も財布も大満足！,3.06,68,564,"￥1,000～￥1,999",～￥999,大阪府豊中市刀根山元町5-50
LAWSON 豊中刀根山元町店,柴原阪大前駅 394m,コンビニ・スーパー,,,1,2,-,-,大阪府豊中市刀根山元町12-57
はな,柴原阪大前駅 226m,カフェ,,3.03,6,104,-,-,大阪府豊中市刀根山元町12-1 スリーヴィレッジ 1F
慶州館,岡町駅 291m,焼肉、ホルモン、居酒屋,リピーターが絶えない人気店◎特選和牛【万葉牛】で至福のひとときを！,3.63,174,3859,"￥5,000～￥5,999",-,大阪府豊中市中桜塚2-18-8 丸正ビル　２Ｆ
炭火焼地鶏料理 きたろう。,岡町駅 346m,焼き鳥、居酒屋、日本料理,≪岡町駅2分≫季節で異なるブランド地鶏使用！紀州備長炭で焼く串焼きと鶏創作料理をご堪能,3.2,42,1529,"￥4,000～￥4,999",-,大阪府豊中市中桜塚2-18-2
串もん,岡町駅 321m,串揚げ、居酒屋、海鮮,,3.06,13,302,"￥3,000～￥3,999",-,大阪府豊中市中桜塚2-25-5
たこちゃん 岡町中桜塚店,岡町駅 342m,たこ焼き、お好み焼き、居酒屋,阪急岡町駅5分◆ボリュームたっぷりな大玉のたこ焼きが自慢！気軽に入れる空間は昼飲みも可能♪,3,7,62,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市中桜塚2-18-2
Ricco Pianta,岡町駅 437m,イタリアン、バル、パスタ,旬の恵みを活かした創作イタリアンをお楽しみください,3.21,38,825,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市中桜塚2-20-11 2F
天麩羅くろさわ,岡町駅 863m,天ぷら、居酒屋、日本料理,,3.27,31,1930,"￥10,000～￥14,999","￥4,000～￥4,999",大阪府豊中市中桜塚4-2-1
鮨・居酒屋・割烹　鮨慶,岡町駅 278m,居酒屋、創作料理、海鮮,【岡町駅3分】めぐる季節の旬食材を存分に楽しめる割烹料理屋◆老若男女問わず歓迎,3.18,9,190,"￥5,000～￥5,999",-,大阪府豊中市中桜塚2-18-12 藤本ビル B1F
diritto,岡町駅 375m,イタリアン、パスタ、居酒屋,,3.13,23,1273,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市中桜塚2-25-12 ループトーワビル 1F
トラットリア オロブリランテ,岡町駅 193m,イタリアン、パスタ,アットホームな店内で気軽に本格イタリアン。手打ちパスタや料理引き立つお酒で華やかなひと時を,3.17,26,989,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府豊中市中桜塚2-1-1
ひふみ・キッチン,岡町駅 486m,野菜料理、オーガニック、カフェ,無農薬野菜や玄米を使った、体が喜ぶお料理をご提供,3.39,99,5063,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市中桜塚2-31-20
カフェ ローズ,岡町駅 533m,カフェ、喫茶店,,3.01,4,66,"￥1,000～￥1,999",～￥999,大阪府豊中市中桜塚3-5-30 プレール桜塚 1F
焼肉 たか,岡町駅 278m,焼肉、ホルモン、居酒屋,,3.09,15,505,"￥4,000～￥4,999",～￥999,大阪府豊中市中桜塚2-18-12 藤本ビル 1F
ニューリトルインディア 岡町駅前店,岡町駅 23m,カレー、インドカレー,,3.09,9,62,-,～￥999,大阪府豊中市中桜塚1丁目2-33
メルク,岡町駅 863m,パン、サンドイッチ、洋菓子,,3.32,69,1630,-,-,大阪府豊中市中桜塚5-16-3
米田水産 フードネットマート桜塚店,岡町駅 199m,その他,,,3,,-,-,大阪府豊中市中桜塚2-27-8
鳥貴族 岡町店,岡町駅 314m,焼き鳥、鳥料理、居酒屋,,3.02,14,130,"￥2,000～￥2,999",-,大阪府豊中市中桜塚2-18-5 文学館ビル1F
ベジタブル&フルーツストア ポン太青果,岡町駅 49m,その他,,3.02,5,94,-,-,大阪府豊中市中桜塚1-2-1
おにぎりタイガー,岡町駅 161m,おにぎり,,3.04,8,157,-,-,大阪府豊中市中桜塚2-1-5
としまさ214,岡町駅 198m,たこ焼き、たい焼き・大判焼き,,3.02,4,31,-,-,大阪府豊中市中桜塚2-27-8 ショッピングセンター 1F
ネコカフェカルム,岡町駅 485m,その他,,3,1,37,-,-,大阪府豊中市中桜塚2-31-35 アナミ中桜塚 B1F
六源 豊中店,岡町駅 468m,焼き鳥,,3.04,9,249,"￥4,000～￥4,999",-,大阪府豊中市中桜塚3-10-35
蜀味川香,岡町駅 535m,四川料理,,3.09,20,261,"￥1,000～￥1,999",～￥999,大阪府豊中市中桜塚3-15-14
ドラン,岡町駅 57m,喫茶店、カフェ,,3.14,21,296,-,"￥1,000～￥1,999",大阪府豊中市中桜塚1-2-3
酒菜 穂のか,岡町駅 415m,居酒屋,,,13,,-,-,大阪府豊中市中桜塚2-20-18 1F
パン de Rainbow,岡町駅 498m,パン,,,1,4,-,-,大阪府豊中市中桜塚3-2-1 1F
惣菜と菓子の持ち帰り専門店 六禾,岡町駅 647m,弁当、洋菓子,,3.21,12,651,-,-,大阪府豊中市中桜塚3-13-12
cafe 桜の庄兵衛+,岡町駅 369m,カフェ,,3.02,1,8,-,-,大阪府豊中市中桜塚2-30-35
よりみち酒場 まちあわせ,岡町駅 514m,居酒屋,,,5,,-,-,大阪府豊中市中桜塚2-31-13 1F
じゅんちゃん,岡町駅 374m,お好み焼き、焼きそば、鉄板焼き,,3.06,5,33,-,-,大阪府豊中市中桜塚2-25-12 ループトーワビル1F
都そば 岡町駅前店,岡町駅 23m,そば、うどん,,3.07,23,105,-,～￥999,大阪府豊中市中桜塚1-2-36
ごはんとお菓子 none,岡町駅 257m,オーガニック、カフェ,,3.23,23,999,-,"￥1,000～￥1,999",大阪府豊中市中桜塚2-2-1
Resto,岡町駅 477m,カフェ,,3.02,2,46,-,-,大阪府豊中市中桜塚3-10-2 東洋ビル 102
立呑み まえざわ,岡町駅 514m,海鮮、立ち飲み、鳥料理,,3.08,15,565,"￥1,000～￥1,999",-,大阪府豊中市中桜塚2-31-13
なかむら,岡町駅 29m,お好み焼き,,3.05,12,143,"￥1,000～￥1,999",-,大阪府豊中市中桜塚1-2-34
野呂松飯店,岡町駅 61m,ラーメン,,3.49,215,6648,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市中桜塚1-2-3
ビアサ カフェアンドアジアンボタン,岡町駅 198m,カフェ,,,1,19,-,-,大阪府豊中市中桜塚2-27-8
ガスト 阪急岡町駅前店,岡町駅 43m,ファミレス,,3.04,25,111,-,"￥1,000～￥1,999",大阪府豊中市中桜塚1-1-1
すずきの鳥中華そば,岡町駅 346m,ラーメン、つけ麺,,3.01,4,336,-,"￥1,000～￥1,999",大阪府豊中市中桜塚2-18-2 炭火焼地鶏料理きたろう
榮右衛門,岡町駅 320m,居酒屋,,3,3,28,-,-,大阪府豊中市中桜塚2-18-18
味彩清川,岡町駅 244m,お好み焼き,,3.02,2,28,"￥3,000～￥3,999",-,大阪府豊中市中桜塚1-9-3 サンシャインセブン 1F
亀甲堂,岡町駅 55m,和菓子,,3.06,9,149,-,-,大阪府豊中市中桜塚1-2-2
鉄板居酒屋 とりちゃん,岡町駅 484m,居酒屋,,,1,12,-,-,大阪府豊中市中桜塚2-31-35 プレアール中桜塚 101
からあげ金と銀 豊中岡町駅前店,岡町駅 64m,からあげ,,3,1,19,-,-,大阪府豊中市中桜塚1-2-4
食彩中華 華蝶,岡町駅 536m,中華料理,,3.21,25,434,-,"￥1,000～￥1,999",大阪府豊中市中桜塚3-5-30 プレール桜塚 103
炭火焼鳥 小鉄 豊中店,岡町駅 488m,焼き鳥,,3.08,10,142,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市中桜塚3-10-3
かじまやー,岡町駅 436m,沖縄料理、沖縄そば,,3.18,49,962,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市中桜塚2-20-10 サンリッチビル　１Ｆ
Nico食堂,岡町駅 245m,食堂、弁当,,3.21,16,482,-,～￥999,大阪府豊中市中桜塚2-26-14
来夢来人,岡町駅 64m,中華料理、ラーメン、つけ麺,,3.68,182,6603,"￥1,000～￥1,999",～￥999,大阪府豊中市中桜塚1丁目2-4
ブールミッシュ 岡町店,岡町駅 325m,ケーキ、マカロン、洋菓子,,3,4,58,-,-,大阪府豊中市中桜塚2-18-4
森のおはぎ,岡町駅 359m,和菓子,,3.62,359,18070,～￥999,-,大阪府豊中市中桜塚2-25-10
今夜もアイス 豊中岡町店,岡町駅 29m,ジェラート・アイスクリーム,,3.01,3,14,-,-,大阪府豊中市中桜塚1-2-38
ホノルルアサイー 豊中店,岡町駅 30m,ジェラート・アイスクリーム,,3.06,5,81,～￥999,～￥999,大阪府豊中市中桜塚1-2-38
コーヒーハウスパパゲーノ,岡町駅 375m,喫茶店,,,5,,-,-,大阪府豊中市中桜塚2-25-12
ミツヤ,岡町駅 865m,バー,,,1,12,-,-,大阪府豊中市中桜塚4-14-14
さくらコッペ,岡町駅 198m,パン,,3,1,6,-,-,大阪府豊中市中桜塚2-27-8
レストランムース,岡町駅 376m,ダイニングバー、居酒屋、洋食,,3.03,5,88,"￥3,000～￥3,999",-,大阪府豊中市中桜塚2-25-12 ループトーワビル
カフェプラグ,岡町駅 441m,カフェ,,3.16,24,188,-,～￥999,大阪府豊中市中桜塚2-20-10 サンリッチ豊中ビル 1F
ボンシンタニ,岡町駅 209m,ケーキ,,3.23,34,2060,-,-,大阪府豊中市中桜塚2-27-8 １Ｆ
コンセルボ 岡町店,岡町駅 43m,パン、サンドイッチ,,3.03,30,111,～￥999,-,大阪府豊中市中桜塚1丁目1-1 阪急岡町駅構内
ワンカヨ,岡町駅 374m,ペルー料理、中南米料理,,3.27,44,1288,～￥999,～￥999,大阪府豊中市中桜塚2-25-12 2F
キママヤ,豊中市,喫茶店,,3.02,1,17,～￥999,～￥999,大阪府豊中市中桜塚5-11-1
金子厨房店,岡町駅 349m,カフェ,,3,3,106,-,-,大阪府豊中市中桜塚1-11-10 古民家nokisaki+
十八番まんじゅう,岡町駅 23m,たい焼き・大判焼き、和菓子、お好み焼き,,3.08,15,224,-,～￥999,大阪府豊中市中桜塚1-2-36
さち,岡町駅 883m,居酒屋,,,3,,-,-,大阪府豊中市中桜塚5-14-36
フードネットマート 桜塚店,岡町駅 199m,その他,,,1,9,-,-,大阪府豊中市中桜塚2-27-8
しあわせおでん処 おかちゃん,岡町駅 212m,おでん,,3.05,4,157,-,-,大阪府豊中市中桜塚1-8-4
大阪やき三太 豊中店,岡町駅 867m,たこ焼き,,3.01,1,15,-,-,大阪府豊中市中桜塚4-14-17 ヴィルシーナ桜塚 1F
かたすみⅡ,岡町駅 318m,喫茶店,,3.04,5,79,-,-,大阪府豊中市中桜塚2-25-5
松屋 岡町店,岡町駅 36m,牛丼、豚丼、カレー,,3.01,9,32,-,-,大阪府豊中市中桜塚1-1-1 ティオ阪急岡町 1F
森下商店,岡町駅 156m,その他,,,17,,-,-,大阪府豊中市中桜塚2-27-25
アトリウムサーティーエイト,岡町駅 646m,オーガニック、喫茶店,,3.02,3,103,-,-,大阪府豊中市中桜塚3-13-15 橘高マンション 1F
いずみカリー 桜塚本店,岡町駅 496m,カレー、ハンバーグ、洋食,,3.49,191,5396,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市中桜塚2-31-1 中桜塚中央ビル 1F
千鳥屋宗家 岡町店,岡町駅 150m,和菓子,,3,2,10,-,-,大阪府豊中市中桜塚2-1-7
いち凜,岡町駅 212m,居酒屋、日本料理,,3.09,26,1080,"￥4,000～￥4,999",-,大阪府豊中市中桜塚2-27-8-122
あげパン屋るん 豊中店,岡町駅 275m,パン,,,60,,-,-,大阪府豊中市中桜塚2-18-11 2F
チキンショップ 鳥安,岡町駅 202m,その他,,,1,5,-,-,大阪府豊中市中桜塚2-27-8
BAR ボム,岡町駅 514m,バー、ダイニングバー、居酒屋,,,25,,"￥3,000～￥3,999",-,大阪府豊中市中桜塚2-31-16 シティプラザ 3F
木香珈琲,岡町駅 80m,カフェ,,3.15,18,164,-,"￥1,000～￥1,999",大阪府豊中市中桜塚1-2-7
タージマハル エベレスト 豊中店,岡町駅 438m,インド料理、ネパール料理、インドカレー,,3.17,31,294,-,～￥999,大阪府豊中市中桜塚2-20-10
吉野家 １７６号線豊中店,岡町駅 484m,牛丼、カレー、食堂,,3.05,38,120,～￥999,～￥999,大阪府豊中市中桜塚3-10-30
小麦のうた,岡町駅 885m,パン,,3.11,15,380,-,-,大阪府豊中市中桜塚5-14-36
フレビコーヒー,岡町駅 302m,その他,,,1,42,-,-,大阪府豊中市中桜塚2-25-3
&cera,岡町駅 278m,カレー、居酒屋,,3.04,4,44,-,-,大阪府豊中市中桜塚2-18-12
とんかつ ますもと,岡町駅 507m,とんかつ,,3.27,31,529,"￥1,000～￥1,999",～￥999,大阪府豊中市中桜塚3-10-6
スシロー 桜塚店,岡町駅 345m,回転寿司、揚げ物、うどん,,3.06,38,248,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市中桜塚2-10-10
中国名菜 さだひろ,岡町駅 471m,中華料理,,3.11,13,844,"￥5,000～￥5,999","￥3,000～￥3,999",大阪府豊中市中桜塚3-2‐30
珈琲 サンガ,岡町駅 373m,喫茶店、カフェ,,3.01,4,25,-,～￥999,大阪府豊中市中桜塚2-25-12 1F
てこや 岡町店,岡町駅 132m,たこ焼き、お好み焼き,,3.01,5,28,-,-,大阪府豊中市中桜塚2-27-1
食パン工房春日 桜塚店,岡町駅 201m,パン,,3.07,14,169,-,-,大阪府豊中市中桜塚2-27-8 桜塚ショッピングセンター 1F
にしき亭,岡町駅 483m,焼き鳥,,3.05,6,142,-,-,大阪府豊中市中桜塚2-23-5
さかな料理 魚甚,岡町駅 433m,海鮮、鍋、居酒屋,,3.05,9,380,"￥6,000～￥7,999",-,大阪府豊中市中桜塚2-20-10 サンリッチ豊中　２Ｆ
餃子の王将 岡町店,岡町駅 340m,餃子、中華料理、ラーメン,,3.04,29,149,"￥1,000～￥1,999",-,大阪府豊中市中桜塚2-25-7
3 o'clock bake,岡町駅 883m,洋菓子,,3,5,136,-,-,大阪府豊中市中桜塚5-14-1
一ぶ,岡町駅 165m,惣菜・デリ,,3,2,10,-,-,大阪府豊中市中桜塚2-27-8
DiningBarTOMATO,岡町駅 515m,イタリアン、バー、創作料理,,3.05,9,224,-,～￥999,大阪府豊中市中桜塚2-31-14
富士宮,岡町駅 872m,惣菜・デリ,,3,3,40,-,-,大阪府豊中市中桜塚4-14-17
らん,岡町駅 150m,喫茶店,,3.04,8,27,-,-,大阪府豊中市中桜塚2-1-7
よし乃,岡町駅 251m,日本料理,,3.54,31,2893,"￥10,000～￥14,999","￥8,000～￥9,999",大阪府豊中市中桜塚2-28-3
洋食屋グリルCoCCo,岡町駅 278m,洋食、オムライス,,3.41,110,4948,～￥999,～￥999,大阪府豊中市中桜塚2-18-12 藤本ビル 1F
とまと,岡町駅 364m,ピザ、パスタ,,3.13,31,564,-,～￥999,大阪府豊中市中桜塚2丁目16-11
桜亭,岡町駅 533m,洋食、ダイニングバー,,3.16,17,482,"￥4,000～￥4,999",～￥999,大阪府豊中市中桜塚3-5-30 プレール桜塚 B1F
モントレー,岡町駅 33m,喫茶店、洋食,,3.07,9,162,-,-,大阪府豊中市中桜塚1-2-38
LIFE 岡町店,岡町駅 228m,コンビニ・スーパー,,3.01,1,4,-,-,大阪府豊中市中桜塚2-2-5
かきうち,豊中市,和菓子,,3,5,30,-,-,大阪府豊中市中桜塚5-23-6
鶏匠虎鉄,岡町駅 488m,焼き鳥,,3.04,4,19,-,-,大阪府豊中市中桜塚3-10-3
韓国料理　鳳仙花,岡町駅 886m,韓国料理,,3.02,3,123,-,-,大阪府豊中市中桜塚5丁目14-1
珉龍 豊中店,岡町駅 513m,中華料理,,3.06,10,149,-,-,大阪府豊中市中桜塚2-31-16 ジョイプラザビル 1F
Nakamura座,豊中市,居酒屋,,3.02,1,28,-,-,大阪府豊中市西泉丘1-1-3
ピザハット 豊中西泉丘店,豊中市,ピザ,,3,4,11,-,-,大阪府豊中市西泉丘1-1-1
三田屋本店 豊中店,緑地公園駅 857m,ステーキ,,3.08,65,1204,"￥6,000～￥7,999","￥3,000～￥3,999",大阪府豊中市西泉丘3-8-12
七輪 服部緑地店,緑地公園駅 818m,焼肉、肉料理、韓国料理,,3.08,67,1226,"￥3,000～￥3,999",-,大阪府豊中市西泉丘3-10-12
日月家,緑地公園駅 877m,食堂,,,1,8,-,-,大阪府豊中市西泉丘3-10-3
アミューズ,緑地公園駅 973m,カフェ、レストラン、バー,,3.03,4,91,～￥999,～￥999,大阪府豊中市西泉丘3-12-1 緑地グリーンマンション 1F
黒毛和牛焼肉ビーファーズ 豊中緑丘牧場,豊中市,焼肉、ホルモン、居酒屋,,3.08,39,818,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市西緑丘3-11-1
肉料理 ARITA 豊中ロマン店,豊中市,焼肉、すき焼き、しゃぶしゃぶ,落ち着いた雰囲気の中、極上の和牛で優雅なひと時をお過ごしくださいませ,3.07,12,444,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府豊中市西緑丘3-13-3
Dining IKINA,豊中市,イタリアン、創作料理,,3.08,28,1307,"￥6,000～￥7,999","￥2,000～￥2,999",大阪府豊中市西緑丘3-13-1 シンミ西緑丘ビル B1F
喜楽,豊中市,和菓子、甘味処,,3.19,25,462,-,～￥999,大阪府豊中市西緑丘3-13-12
Basic珈琲,豊中市,カフェ,,3.06,10,327,-,～￥999,大阪府豊中市西緑丘3-13-1 シンミ西緑丘ビル1階
TaKuこーひー。,豊中市,カフェ,,,3,,-,-,大阪府豊中市西緑丘3-13-1 サンキョウ西緑ヶ丘ビル 1F
眞瀬別邸,豊中市,焼肉、鉄板焼き,,3.28,38,1009,"￥10,000～￥14,999",-,大阪府豊中市西緑丘3-26-23
gite,豊中市,イタリアン、パスタ、ビストロ,,3.11,19,914,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市西緑丘3-13-3 ヴェルデ緑丘　１Ｆ
パン富田屋,豊中市,パン、サンドイッチ,,3.13,21,370,-,-,大阪府豊中市西緑丘3-13-13
マクドナルド 豊中緑丘店,豊中市,ハンバーガー,,3.03,14,53,"￥1,000～￥1,999",～￥999,大阪府豊中市西緑丘3-11-2
ノースランド,豊中市,食堂、お好み焼き、居酒屋,,3,1,6,"￥3,000～￥3,999",～￥999,大阪府豊中市西緑丘3-13-11
セブンイレブン 豊中服部寿町3丁目店,服部天神駅 785m,コンビニ・スーパー,,,3,,-,-,大阪府豊中市服部寿町3-287-1
和久,服部天神駅 701m,そば、うどん,,3.14,19,282,-,"￥1,000～￥1,999",大阪府豊中市服部寿町3-1-25
サーティワンアイスクリーム 豊中内環ロードサイド店,豊中市,ジェラート・アイスクリーム,,3.04,22,77,-,-,大阪府豊中市服部寿町5-158-1
ラー麺 ずんどう屋 豊中服部店,服部天神駅 787m,ラーメン,,3.05,53,235,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市服部寿町3-15-3
マクドナルド 内環豊中店,服部天神駅 905m,ハンバーガー,,3.03,14,66,～￥999,～￥999,大阪府豊中市服部寿町3-18-1
スタミナ園,服部天神駅 480m,焼肉,,,1,68,-,-,大阪府豊中市服部寿町1-2-1
大阪難波 焼肉 けいごう,服部天神駅 114m,焼肉、ステーキ、牛タン,す三大和牛のひとつ・近江牛の中でも厳選した雌牛のみを使用。極上の和牛を上質な空間でぜひ。,3.08,13,487,"￥5,000～￥5,999",-,大阪府豊中市服部西町1-2-20 グリーンビル 1F
蕎麦に酒 しろや,服部天神駅 52m,居酒屋、そば,【服部天神駅1分】炭火香る鴨のタタキや旬の創作料理を満喫。〆は手打ち蕎麦を◎一軒目利用にも,3.26,25,1062,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市服部西町1-1-6
旬菜酒房 まうんと,服部天神駅 359m,居酒屋,,3.03,2,86,"￥4,000～￥4,999",～￥999,大阪府豊中市服部西町2-6-9
インド・ネパール料理 Buddha Bhumi,服部天神駅 328m,インド料理、ネパール料理、インドカレー,,3.12,8,50,"￥1,000～￥1,999",～￥999,大阪府豊中市服部西町2-5-20
NOUVE,服部天神駅 417m,フレンチ,,3.08,12,817,"￥10,000～￥14,999","￥5,000～￥5,999",大阪府豊中市服部西町2-7-8 あけみマンション東館 1F
間借りでUMAUMAごはんとお酒 アガリ３ハロン,服部天神駅 122m,カフェ,,3.04,2,133,-,"￥1,000～￥1,999",大阪府豊中市服部西町1-4-1
中華上原,服部天神駅 254m,中華料理,,3.41,74,3399,-,～￥999,大阪府豊中市服部西町2-2-21
富貴屋,服部天神駅 321m,和菓子,,3.07,7,129,-,～￥999,大阪府豊中市服部西町2-5-23
